id_jogo,status,data,sede,fase,selecao_a,gols_a,gols_b,selecao_b
39,Agendado,21/6/2026,Los Angeles,Grupo,Bélgica,,,Irã
40,Agendado,21/6/2026,Vancouver,Grupo,Egito,,,Nova Zelândia
41,Agendado,26/6/2026,Vancouver,Grupo,Bélgica,,,Nova Zelândia
42,Agendado,26/6/2026,Seattle,Grupo,Egito,,,Irã
43,Agendado,15/6/2026,Atlanta,Grupo,Espanha,,,Cabo Verde
44,Agendado,15/6/2026,Miami,Grupo,Arábia Saudita,,,Uruguai
45,Agendado,21/6/2026,Atlanta,Grupo,Espanha,,,Arábia Saudita
46,Agendado,21/6/2026,Miami,Grupo,Uruguai,,,Cabo Verde
47,Agendado,26/6/2026,Guadalajara,Grupo,Espanha,,,Uruguai
48,Agendado,26/6/2026,Houston,Grupo,Arábia Saudita,,,Cabo Verde
49,Agendado,16/6/2026,Nova Jersey,Grupo,França,,,Senegal
50,Agendado,16/6/2026,Boston,Grupo,Noruega,,,Iraque
51,Agendado,22/6/2026,Filadélfia,Grupo,França,,,Iraque
52,Agendado,22/6/2026,Nova Jersey,Grupo,Senegal,,,Noruega
53,Agendado,26/6/2026,Boston,Grupo,França,,,Noruega
54,Agendado,26/6/2026,Toronto,Grupo,Senegal,,,Iraque
55,Agendado,16/6/2026,Kansas,Grupo,Argentina,,,Argélia
56,Agendado,16/6/2026,São Francisco,Grupo,Áustria,,,Jordânia
57,Agendado,22/6/2026,Dallas,Grupo,Argentina,,,Áustria
58,Agendado,22/6/2026,São Francisco,Grupo,Argélia,,,Jordânia
59,Agendado,27/6/2026,Dallas,Grupo,Argentina,,,Jordânia
60,Agendado,27/6/2026,Kansas,Grupo,Argélia,,,Áustria
61,Agendado,17/6/2026,Houston,Grupo,Portugal,,,RD Congo
62,Agendado,17/6/2026,Cidade do México,Grupo,Uzbequistão,,,Colômbia
63,Agendado,23/6/2026,Houston,Grupo,Portugal,,,Uzbequistão
64,Agendado,23/6/2026,Guadalajara,Grupo,Colômbia,,,RD Congo
65,Agendado,27/6/2026,Miami,Grupo,Portugal,,,Colômbia
66,Agendado,27/6/2026,Atlanta,Grupo,Uzbequistão,,,RD Congo
67,Agendado,17/6/2026,Dallas,Grupo,Inglaterra,,,Croácia
68,Agendado,17/6/2026,Toronto,Grupo,Gana,,,Panamá
69,Agendado,23/6/2026,Boston,Grupo,Inglaterra,,,Gana
70,Agendado,23/6/2026,Toronto,Grupo,Croácia,,,Panamá
71,Agendado,27/6/2026,Nova Jersey,Grupo,Inglaterra,,,Panamá
72,Agendado,27/6/2026,Filadélfia,Grupo,Croácia,,,Gana
73,Agendado,28/6/2026,Los Angeles,Grupo,2º Grupo A,,,2º Grupo B
74,Agendado,29/6/2026,Boston,Grupo,1º Grupo E,,,3º (A/B/C/D/F)
75,Agendado,29/6/2026,Monterrey,Grupo,1º Grupo F,,,2º Grupo C
76,Agendado,29/6/2026,Houston,Grupo,1º Grupo C,,,2º Grupo F
77,Agendado,30/6/2026,Nova York/NJ,Grupo,1º Grupo I,,,3º (C/D/F/G/H)
78,Agendado,30/6/2026,Dallas,Grupo,2º Grupo E,,,2º Grupo I
79,Agendado,30/6/2026,Cidade do México,Grupo,1º Grupo A,,,3º (C/E/F/H/I)
80,Agendado,1/7/2026,Atlanta,Grupo,1º Grupo L,,,3º (E/H/I/J/K)
81,Agendado,1/7/2026,Santa Clara,Grupo,1º Grupo D,,,3º (B/E/F/I/J)
82,Agendado,1/7/2026,Seattle,Grupo,1º Grupo G,,,3º (A/E/H/I/J)
83,Agendado,2/7/2026,Toronto,Grupo,2º Grupo K,,,2º Grupo L
84,Agendado,2/7/2026,Los Angeles,Grupo,1º Grupo H,,,2º Grupo J
85,Agendado,2/7/2026,Vancouver,Grupo,1º Grupo B,,,3º (E/F/G/I/J)
86,Agendado,3/7/2026,Miami,Grupo,1º Grupo J,,,2º Grupo H
87,Agendado,3/7/2026,Kansas City,Grupo,1º Grupo K,,,3º (D/E/I/J/L)
88,Agendado,3/7/2026,Dallas,Grupo,2º Grupo D,,,2º Grupo G
89,Agendado,4/7/2026,Filadélfia,Grupo,Vencedor J74,,,Vencedor J77
90,Agendado,4/7/2026,Houston,Grupo,Vencedor J73,,,Vencedor J75
91,Agendado,5/7/2026,Nova York/NJ,Grupo,Vencedor J76,,,Vencedor J78
92,Agendado,5/7/2026,Cidade do México,Grupo,Vencedor J79,,,Vencedor J80
93,Agendado,6/7/2026,Dallas,Grupo,Vencedor J83,,,Vencedor J84
94,Agendado,6/7/2026,Seattle,Grupo,Vencedor J81,,,Vencedor J82
95,Agendado,7/7/2026,Atlanta,Grupo,Vencedor J86,,,Vencedor J88
96,Agendado,7/7/2026,Vancouver,Grupo,Vencedor J85,,,Vencedor J87
97,Agendado,9/7/2026,Boston,Grupo,Vencedor J89,,,Vencedor J90
98,Agendado,10/7/2026,Los Angeles,Grupo,Vencedor J93,,,Vencedor J94
99,Agendado,12/7/2026,Miami,Grupo,Vencedor J91,,,Vencedor J92
100,Agendado,12/7/2026,Kansas City,Grupo,Vencedor J95,,,Vencedor J96
101,Agendado,14/7/2026,Dallas,Grupo,Vencedor J97,,,Vencedor J98
102,Agendado,15/7/2026,Atlanta,Grupo,Vencedor J99,,,Vencedor J100
103,Agendado,18/7/2026,Miami,Grupo,Perdedor J101,,,Perdedor J102
104,Agendado,19/7/2026,Nova York/NJ,Grupo,Vencedor J101,,,Vencedor J102
